"","MGHBC6_etp","MGHBC8_etp","MGHBC11_etp","MGHBC12_etp","MGHBC13_etp","MGHBC14_etp","MGHBC16_etp","MGHBC18_etp","MGHBC21_etp","MGHBC27_etp","MGHBC28_etp","MGHBC33_etp","MGHBC38_etp","MGHBC41_etp","MGHBC44_etp","MGHBC51_etp","MGHBC52_etp","MGHBC53_etp","MGHBC55_etp","MGHBC56_etp","MGHBC57_etp","MGHBC58_etp","MGHBC60_etp","MGHBC63_etp","MGHBC64_etp","MGHBC17ec_etp","MGHBC5_etp"
"EcMero2_Rup_APECO78_00325_0.97_1",0.186484114852599,0.143030865138036,1.00977955761335,2.24781609835586,-0.309627110617081,-0.0464121053424907,1.15731020934938,0.716067188903185,-0.883339912896422,2.29323060139735,1.33450094103299,2.05211965653257,1.43745756182547,3.20318684078176,2.42943734209392,-0.26790089391329,-0.210582257379364,0.211672168483778,-0.128344841635257,0.0281009867906114,0.965426703693549,1.8474978397877,-0.0210198405098489,2.14727246675053,0.130393835461537,-1.86395506736424,1.41463468257183
"EcMero2_Rup_APECO78_04245_0.95_1",0.726477319226582,2.11713325314998,1.66229648842665,2.80351064873632,0.926028321864471,1.29002672515333,1.42977999734827,1.47800015085482,1.52400449891671,3.42731960635874,1.53433110022941,2.00828065474643,1.49379452101677,3.63430969998253,2.76452874379372,0.70834371575772,1.19988777987871,0.681832845101321,0.841916336728765,1.91862411980347,1.42729952848158,1.9819774293682,1.10684028917044,1.24769715518825,0.934548677222767,0.589751089013452,2.31404987263775
"EcMero2_Rup_APECO78_05395_0.92_1",2.97973305946121,3.35699462988642,3.96085369749469,3.77349205837823,3.93841384556505,3.50478544649668,3.73113109983504,2.91989507353626,3.39955748559623,2.78778908426969,3.36681294555804,3.81855679073481,2.75716910678118,4.82638484551979,3.78987633970881,2.78133441035213,3.35056404746218,3.04675112308781,2.78439622202909,3.22780413517013,3.61929606847773,3.60979563546691,3.45111299142353,2.86773986643,3.43277484613505,2.99437555258631,3.06865012411062
"EcMero2_Rup_APECO78_05500_0.97_1",2.68350154296907,3.37642611481179,2.85928421619137,2.72131239539444,3.10406011759444,2.45888331851594,2.56664279872503,2.67670214762871,1.91448543728459,2.4736664305293,2.35973548210799,1.56573995004165,2.53337297934147,2.79836193016035,2.37237232417642,2.09357008200843,2.41738515447245,3.1299730082866,2.08547786026326,2.44161986245422,2.18163073711544,2.34583883701886,2.06789774701605,2.19264329490494,2.18418843752131,2.05969869291886,2.24172613647085
"EcMero2_Rup_APECO78_09510_0.97_1",4.14014585235816,2.90982569300387,4.80617240811559,4.90680715233059,2.63623867674944,2.83223097586476,5.09781875615936,3.90943037519755,1.36496102329767,3.75156269669862,3.00510584738012,4.90117131878254,3.34943640812557,6.74756949158093,5.69811372014357,1.29732002855773,3.26517255623154,2.98442198979465,2.74577660672431,2.72039594849106,4.17804015939151,4.85262545786965,2.72648284637545,3.50629434477694,3.69554956426391,2.27692940913953,3.886582297442
"EcMero2_Rup_APECO78_09705_0.92_1",1.8626810734447,1.21154509832179,2.61673100795217,1.79724230567069,1.78326222392002,0.194456353645217,3.90942229209362,2.25566448534641,1.18958041005498,4.08661066977135,2.14646320390695,2.69606704466454,1.35511924345183,2.30357790296602,3.92269474345202,1.21738672589274,1.82259509529116,1.28083816757516,1.69156373786513,-1.24760241419824,1.61225141306609,0.730012855544948,-0.504396166893723,1.95334858193883,0.946204002022141,1.20082643005374,3.07041569258538
"EcMero2_Rup_APECO78_09710_0.92_1",4.42609456842171,2.79105600958819,4.52308328640473,3.33124414113203,3.86170220454252,2.69629061240214,6.37286027369961,5.1749739328227,3.91578380961763,5.28332097974652,3.08971979797722,3.78334995249854,3.4065419593576,3.15556325082684,5.17974952886775,2.89993021108051,3.39800961251315,3.10634537041325,3.74388206273453,-1.6187242550239,2.11015190315373,2.55287661788793,1.308148574562,2.03976333375631,3.45429784049181,3.55087458918377,3.95516629437375
"EcMero2_Rup_APECO78_12545_0.97_0.95",5.3270598762274,5.50245066530224,5.24573317434935,7.26269912978954,6.30328061656788,4.31086817948942,7.04330478497339,5.01279184970214,3.57612618921086,6.8626918993468,5.02949403990976,5.7053365823488,3.91808083478795,7.6117414975531,6.07802056455296,3.21248381307985,2.9617579915219,3.42244103347777,1.46686093588047,3.7042789059632,5.29177560396405,5.53565605360932,4.24033725059045,5.60363652623931,3.16054564356078,3.35882826412023,6.33144491401275
"EcMero2_Rup_APECO78_21920_0.92_1",3.4585856563375,3.70924317611672,3.19453952280245,3.16323356731244,3.37393253699832,3.12910477648915,2.9889939588894,2.89425649867246,2.76857886078152,3.45186331394898,1.14731808607925,2.87766988440303,2.92487112522815,2.22320625631564,2.02626807437166,2.67309497933268,2.91326401305332,3.70794920963605,2.67851043023648,2.99013951092109,2.0692977711014,2.88230128356775,2.63573385376713,2.84006784901032,3.47801433331598,2.21938224908198,2.96749569571496
"EcMero2_Rup_APECO78_22510_0.92_1",1.81758433655338,4.45479348441883,2.37395639014051,3.11879247505061,2.5892886238799,2.13462058486584,3.22348092130756,2.65523823746051,1.58574512493185,2.69074969535123,2.12283727626006,1.60004444770265,3.19765619396633,4.58910135449337,4.8902041503729,2.14582149060683,1.67606804452685,1.74515670265123,1.8639832568114,1.86963142029236,1.70486309244246,2.36152107704791,1.29849598531992,3.06102703197099,1.67844741941817,1.55101278498261,2.22345860230821
