"","MGHBC6_fep","MGHBC8_fep","MGHBC11_fep","MGHBC12_fep","MGHBC13_fep","MGHBC14_fep","MGHBC16_fep","MGHBC18_fep","MGHBC21_fep","MGHBC27_fep","MGHBC28_fep","MGHBC33_fep","MGHBC38_fep","MGHBC41_fep","MGHBC44_fep","MGHBC51_fep","MGHBC52_fep","MGHBC53_fep","MGHBC55_fep","MGHBC56_fep","MGHBC57_fep","MGHBC58_fep","MGHBC60_fep","MGHBC63_fep","MGHBC64_fep","MGHBC17ec_fep","MGHBC5_fep"
"EcMero2_Rup_APECO78_00325_0.97_1",0.897697852728021,-0.190287191326682,1.67067704921702,1.53577450828283,0.0167314724434583,0.385807510597582,0.781847159277207,0.171774927615245,0.681829889164017,1.64288643503543,1.02306503160119,0.976826844303726,1.16826458300377,1.72157265287955,3.49222380785464,-0.213747141064031,0.598370662244628,1.4875056546999,1.49538367833358,0.579449350518108,2.15193826147551,1.36996495763464,1.32591523629132,1.44524359622136,1.79494457826064,-1.36296350503557,1.57486115623158
"EcMero2_Rup_APECO78_04245_0.95_1",1.91084938794227,1.59204318258146,2.04768023867101,2.19677768070978,1.64826986125929,1.62096541777427,1.28918180937053,0.311239062696932,0.881065347483347,2.66593237867499,1.30517004624967,1.00901827361004,0.0852854702222541,2.12459675855827,3.68847960986857,1.43918110252955,1.36818099753195,1.43781441330377,0.570379759957381,0.35254832719483,1.65532926136926,1.20880724318304,1.5217092929808,0.873671593249136,2.14249058936395,0.587951780298044,2.49218260498819
"EcMero2_Rup_APECO78_05395_0.92_1",2.25993958384924,2.95696752882345,2.39375179515623,3.56138999967966,2.17311394933548,2.48541606078904,2.40478796621758,NA,0.325460897032419,2.43655594015393,2.85276695181735,1.11127809324539,2.7381760313251,0.427436310869218,3.26232243051892,2.79093023247018,2.8894380017083,1.21237510435909,2.86274180171607,NA,2.63512001193646,3.14358796819712,2.40418930561489,1.93027566545798,2.82647291440927,2.50400799954415,3.40606708502873
"EcMero2_Rup_APECO78_05500_0.97_1",1.53184637752758,3.12874501146448,2.38605787288788,2.30284757926234,2.31325030454925,2.18473246490334,2.08475103277803,-0.0736685617469909,0.72877268222301,1.76555858856585,2.01039678053859,0.874109956667979,2.21896913830989,1.32077296317022,2.71090050497626,2.33102173034486,1.46910521433907,1.88048855957567,0.432366174873274,0.0672256051664845,1.35814901332864,1.34161266504906,1.93195336677454,1.63520073273116,1.22339949091881,1.21115422971689,2.19855330251996
"EcMero2_Rup_APECO78_09510_0.97_1",3.91792903170455,2.89423705616662,3.71866262683574,4.46656549821578,1.80735298068342,2.38182823787334,3.69729452325749,NA,0.380918514781673,3.43961611767502,2.6438439784349,2.6276397596558,3.32744508760498,2.00994133798261,5.01166986802199,1.1723613960607,3.91617184339906,1.59088672761282,4.35243107668428,-0.246023413015447,3.72666012925986,4.39209343679672,3.12522191793069,2.51982335291555,4.03500936512155,2.21420367392035,4.01215902591678
"EcMero2_Rup_APECO78_09705_0.92_1",3.73139183108133,1.73013247864658,3.65608319904741,2.38909309008648,2.44643084817499,1.25641762346382,4.41838577571482,0.116937881782282,1.09890887566276,3.39447663815687,1.46991870870515,4.0059839026735,0.264932339177672,2.73410416296786,2.87530823051553,1.18136839049008,3.79110944397486,1.78998327779358,4.64133481789593,0.667915813426299,3.7216264832973,3.02800747744209,1.37868778466305,1.25181006542111,3.6668592466095,2.58149675816074,2.40656058763157
"EcMero2_Rup_APECO78_09710_0.92_1",4.03562409761419,1.54450836742873,4.37756973564629,2.45849566805526,2.79978335832834,1.23192918703302,4.94118173598304,-0.0915709662609356,0.92697584387835,3.53695021761958,1.26976063715623,4.16605036169765,0.56202019683457,2.87551482923008,3.44959770794397,1.82437404979988,4.05177673906192,1.87875170552398,5.92564210555233,0.684026629616754,3.99980437931671,3.0699754094164,1.59089650981732,0.557264520156047,4.60697969348202,3.03218028370973,2.35511964295946
"EcMero2_Rup_APECO78_12545_0.97_0.95",2.67215609686641,1.85432005201529,3.39283029489658,2.7573882211386,4.02319018364589,1.12028095823047,2.33277381944612,-0.112801977428351,0.706857987914639,1.71967273122213,1.34705637744682,0.789547802707812,1.36145354668025,3.24374951181722,6.51389853734014,1.84775213700683,0.789098884904424,1.45497182972078,-0.224184694825193,-0.113434745474679,3.58620512696747,1.39791989445051,1.43354024743649,1.6045748813548,2.41360081851532,0.988350021581332,2.37626721301749
"EcMero2_Rup_APECO78_21920_0.92_1",0.726545761482597,1.01734642519075,0.147318925123478,0.703020698271946,0.944059461057549,1.05773252333132,-0.022676284531053,-0.286525375457285,0.173968589665792,1.12089136468914,1.09272265007098,NA,2.64013174682734,0.132347964868507,1.46874076513754,2.67886738895117,0.91867451412811,1.35921649268836,0.158333369885485,0.189104793550639,-0.320872176942188,0.522909145482681,0.727733227820911,1.57628784132488,1.08266734640837,1.07786028812734,0.3006221596746
"EcMero2_Rup_APECO78_22510_0.92_1",2.71856659042549,4.14142699370368,3.12893394250892,3.26418281820925,3.85193589755063,3.25953601232456,2.92861406264229,-0.366227808315775,0.866319914133701,2.92280131950549,1.45495907805145,1.30096147150683,1.20544060880336,2.50008775933705,4.45013014037759,2.09733913633027,2.51944071565464,2.35442341675567,2.1771288770744,-0.585203813812546,1.84567403355234,2.67748136477542,2.56118357604581,1.6887278832721,2.52646057669691,1.87424007171679,3.022818798459
