"","MGHBC11_cip","MGHBC11_levo","MGHBC12_cip","MGHBC12_levo","MGHBC13_cip","MGHBC13_levo","MGHBC14_cip","MGHBC14_levo","MGHBC16_cip","MGHBC16_levo","MGHBC17ec_cip","MGHBC17ec_levo","MGHBC18_cip","MGHBC18_levo","MGHBC21_cip","MGHBC21_levo","MGHBC27_cip","MGHBC27_levo","MGHBC28_cip","MGHBC28_levo","MGHBC33_cip","MGHBC33_levo","MGHBC38_cip","MGHBC38_levo","MGHBC41_cip","MGHBC41_levo","MGHBC44_cip","MGHBC44_levo","MGHBC5_cip","MGHBC5_levo","MGHBC51_cip","MGHBC51_levo","MGHBC52_cip","MGHBC52_levo","MGHBC53_cip","MGHBC53_levo","MGHBC55_cip","MGHBC55_levo","MGHBC56_cip","MGHBC56_levo","MGHBC57_cip","MGHBC57_levo","MGHBC58_cip","MGHBC58_levo","MGHBC6_cip","MGHBC6_levo","MGHBC60_cip","MGHBC60_levo","MGHBC63_cip","MGHBC63_levo","MGHBC64_cip","MGHBC64_levo","MGHBC8_cip","MGHBC8_levo"
"EcCip3_Rdn_b3771_0.92",-0.918277329913597,0.842168432642875,0.12148011790938,1.55400737128198,0.775734834406826,1.35486213220705,-0.476244994936845,0.283550207457046,-0.565453087285639,0.580424885191406,-0.319704832633573,-1.14995819175697,0.187870380791212,0.752036296660612,0.783293527961875,1.73788957536909,0.332250876212,1.47268863853042,0.810178316239259,2.18986279756653,0.548259184108709,1.65086539832501,0.207281929289364,1.42192353187955,0.465079342881247,1.33392270133046,-0.745211465421385,0.737095982668534,-0.650698930332006,0.88903788577107,-0.117705684728934,-0.391496397074547,-0.106561703639325,1.275606573539,0.864523331351266,1.69277721763508,1.49271290721707,0.710417446538519,0.360177600793867,-0.833192895972247,0.768691172445596,0.169451815742829,0.0232313829995117,-1.25143815439207,-0.355023827770502,0.027029821386954,0.119353543557083,0.26227732698661,0.585141503920261,0.129714314885422,-0.704219940152517,0.141302106993982,0.7925844763704,2.15715747135645
"EcCip3_Rup_b0958_0.97",6.03002528146065,4.69960070413657,0.33955587619046,0.771195043945058,3.46694248608694,2.2288091536819,0.0841758939280668,0.207585094016244,-0.277567063352139,-0.410609606674967,-0.134549967863296,0.933201305390241,0.0952572836389149,-0.601826767983685,4.59056343580751,3.43882419764899,3.72593739075078,2.28836501374938,3.32656991623588,1.69343035720557,3.36526526557523,3.52903991198781,5.68261857040764,5.12939370188529,5.09615439879647,4.83178879570196,5.30535028638211,5.25618709951449,5.2261552915217,4.05189949469081,-0.366413538534547,-1.36697407794048,5.15934165300584,4.95367679470712,1.99081268546944,2.20681612492082,3.89596114873821,3.49427189344186,2.39681879863658,2.48263735073062,4.76471037610408,4.89741877169554,-0.0558401879916868,0.227102287192929,1.8362415439181,1.69886977278808,2.19722510544647,2.64265331411564,3.3805543877714,3.37095442184311,1.75457693975286,2.46719910408429,3.24131628901353,2.08059303502296
"EcCip3_Rup_b1061_0.95",5.68013248450689,4.7168948372119,0.122669872644235,0.0870848072699114,2.41325448530227,1.36605271116549,0.0585070845648895,-1.05958597585471,0.122768700370733,0.0465695602309515,0.888136402935022,2.05683419240892,-0.0831461890547547,-0.0803062299707708,4.11084825158039,3.19300715976404,4.334243308985,3.38613674769194,3.02548853727833,1.29914064697011,2.79442420524873,3.23701189176004,5.0549070733231,4.8207617806894,4.67008807643705,4.45156986214465,5.0967493605719,4.63228834324951,5.76287405248681,5.209091133038,-0.020881844760115,0.550682948537111,5.02166036747999,4.72424687198087,2.18644535108091,2.22298480640681,4.0498156295364,3.57641275485839,2.90122941128622,3.09107077703682,4.69046385753583,4.82205694854356,0.140045047982262,-1.1670459671017,2.73775207491097,2.74477826130404,2.22028629952916,2.70481937627143,3.48511149711198,3.17416230161012,2.04196369548631,2.74515594652741,3.32051621730239,2.19430482264614
"EcCip3_Rup_b1183_0.92",5.25737606866511,4.11902091464889,0.112232511583028,1.52484494663666,1.4952529163574,1.67883582738299,0.239469128292907,0.789317482911463,0.124962754035319,1.33046038582398,-1.77913645127087,0.276306562945132,-0.173117401665377,0.550402435490962,4.38564388512577,3.28064520939928,3.72015084337493,2.61827797406803,2.56513078822541,1.24820741300262,1.5705693458338,0.922287589651521,4.94885415916155,4.60679167227845,4.17640236869247,3.48460635273112,4.23297364611885,3.82376733784881,3.39636932332477,2.662345327001,-0.408999594261102,-0.73411688711501,3.86353976621966,4.05002422687311,0.692816801728965,0.751850894841948,2.43654176399181,0.925207624918675,2.12769692130409,2.33824264350311,2.99067714356358,2.68026961684009,-0.0608328817889623,-1.51992699031797,2.62144763673326,2.58541172300479,1.5841039266855,1.535552186572,0.805139595816915,0.278002348831805,1.87067473439514,2.20859694456576,3.25165751000327,2.90092676545867
"EcCip3_Rup_b1848_0.92",5.21357014061724,3.88266112054889,0.164632821586954,-0.149802985358892,2.5544175770655,1.04930086725364,-0.0187381559174949,-0.950740340955381,-0.0587013264392477,-0.406959009276751,0.833840425619882,1.86218977895361,-0.0120389944940219,-0.281687561781441,4.14197311504228,3.25591964175482,4.05182952019531,3.15559680890272,1.5060432187029,0.323610417418313,2.90440830334683,3.46111592223956,4.6663370418877,4.49830347620023,4.77321888603807,4.76726433010592,4.9176732020788,4.97560342831437,6.59330616397855,5.66134809530242,0.411780775549604,0.227013823098022,5.08333212729998,4.93786118475468,1.63591934182417,1.9306088674187,4.17705830789214,4.04150238283105,2.51258787268946,3.27000982547052,4.53815932623125,5.3575877771786,-0.187535713217308,-0.12095505831991,2.63348398894451,2.44628749692277,2.13890625148127,2.96115187541532,3.20767008712534,3.30539172172477,2.14436076388961,3.04626207102239,2.88267930263492,1.42898056204071
"EcCip3_Rup_b2616_0.95",3.28625746378745,1.92787712412286,0.207818307348752,1.68747953631245,2.19626798646659,1.99527077198497,-0.0889911726334024,-0.061652739957574,-0.0420142088224405,0.251809034126185,-0.756768638242416,-0.805662283841149,-0.359540532412291,-0.346766618413883,3.2992174912758,1.1144529268333,4.43429103351653,2.39365005360443,2.81897288111074,1.38210350353394,1.66029950648981,1.49260331440828,4.95294004576404,3.63896955949459,4.53139672446896,3.28286773885276,3.83174854405178,2.98612807609044,3.60365144160231,3.14338825770539,0.654796357484794,-0.45068478432971,2.65181047001338,2.29789482011358,1.86154747418869,0.441112195427833,3.75995686708214,1.65234619087225,2.70986920598934,2.94806748005429,3.9339453643337,3.5066466672835,-0.15010021988605,-1.64701968005361,3.1875600706801,2.58022527628946,2.02522231588438,1.64155008316727,3.27887548226181,2.5097934681705,2.47763193954991,2.62249194127775,3.49151784782337,2.36164433046985
"EcCip3_Rup_b2699_0.97",5.48720301910255,4.90841162783296,0.0220877951816217,-0.173758207024122,4.78150064413237,3.77544343808772,0.00993841224058375,-0.841524133446717,0.0336652168132194,-0.00799940824081838,2.39584177789773,3.59717476183217,-0.0491989678607847,-0.249709996812963,5.03207186382107,4.60545650449224,4.77650863225847,4.07867310879883,3.58097246298323,2.27361226470394,4.69988839817337,5.35244909785423,5.3952403924609,5.38278265525304,5.40214039074155,5.41582182241562,5.54985416711292,5.86008423920562,5.23073906129114,4.71805757211874,0.0447200412465713,0.36010004142391,5.29900458759608,5.25131044321233,3.08938179521042,3.20932048331471,4.61473893723167,4.22549857913258,2.41168523898334,2.97115987700687,4.81401933732439,5.28601779461825,0.352013148927937,0.119456789643567,2.61885751926755,2.77079777037967,2.26269236551942,2.84765339669127,4.83350815117488,4.93203132458149,2.52409061378264,3.3397634223563,4.13776340945218,3.25957242980722
"EcCip3_Rup_b3645_0.92_0.95",3.61661400307983,2.93696099143953,0.237155162953652,1.25842221073281,2.39116526040869,1.25066324675386,0.19036647089389,0.328686924936138,-0.432498861876557,0.718565557315822,0.538833630047808,-0.831988110438287,-0.226340714317311,1.71878527212487,2.13835221583772,1.92914982423207,3.33407187602641,2.42617574223051,0.925014518521062,1.24675165063906,2.59356564723677,2.84100362065683,-0.552727545804671,-0.60467769889157,0.447984657682438,0.143108288962482,3.75425682490119,3.77559455373269,2.2659726860691,1.75276062222322,-0.155310107127386,-0.573974448859944,2.92562641337843,3.17615152690967,1.08631595430012,0.954666485803997,1.36712517537674,0.0489943247543817,1.86501944521284,2.47773113386837,3.31625244779738,3.76812895350455,-0.287970305294792,-0.334533770155535,0.0924351492007193,1.27757328303755,1.61479198671082,2.22474600316332,0.345730862388981,-0.314404964050516,1.59090341781304,2.36053833577674,2.49920428185572,2.00071327075429
"EcCip3_Rup_b3832_0.92",1.55027510489882,0.672492002604607,-0.102236530240288,0.53560963110982,1.15431980446862,1.65346910722456,-0.194150393941635,-0.471252629424329,-0.461129406657898,0.437649631918326,0.132807372063933,0.946410202715265,-0.607695087339866,0.408383430618534,1.75330584603507,1.39008736944673,1.99531566067934,1.30439342200378,0.963219886814613,0.25683341801822,1.05296211291441,2.01914912890411,3.30302209127587,3.21602085331711,2.62300388421474,2.40722683330819,1.44540909792457,1.60049485985552,1.58634026696884,0.974767759796954,0.0238560555953545,1.00597801997135,1.69186334621766,2.02792550450364,1.53417509593152,1.97545675320568,2.51570788930307,1.18599982721218,1.07412015023765,1.87206661862493,1.8977320384334,2.44691200179056,0.070025594478453,-0.392910580344953,1.38770103568439,1.51600571563827,1.40716950821916,2.3496003518836,1.6049796784244,1.54760940858909,1.01155393307707,1.70359169121182,2.0796563433129,1.65428679787555
"EcCip3_Rup_b4043_0.97",3.26277990889009,1.84977392703632,0.0998349324444571,-0.37702442259553,2.86623803088397,1.05436313147517,0.0356359493458314,-1.26204654054778,-0.0120501271598778,-0.922273339671824,1.79660751942091,2.66312854173723,-0.131105706457593,-0.660946350426802,3.10292579522595,2.00967258936489,2.8983683239623,1.34869544074167,1.75520040007272,-0.0792046578520231,2.60094598811681,2.22336797022432,3.09006881079564,2.22033907456393,2.95793854725744,2.16349397687818,2.76759326952696,2.04509838220938,2.78998940537117,2.45544999012045,0.112762313715362,-0.0676056085670037,3.57051612336269,3.44483809964652,2.02551134455879,1.84182809616353,3.38128916914097,2.6967532324761,1.93400711897636,2.24915652330558,2.82368055073975,2.77966211432959,-0.102587778641883,-0.451804269398522,2.36893463997943,1.82283548515955,2.22607202147027,2.6733339453601,2.51429842255617,2.37744527140767,1.97965989317257,2.29441935089651,2.47915610204516,0.747473745722383
