"","MGHBC4_etp","MGHBC15_etp","MGHBC19_etp","MGHBC23_etp","MGHBC25_etp","MGHBC34_etp","MGHBC35_etp","MGHBC29_etp","MGHBC32_etp","MGHBC26_etp","MGHBC47_etp","MGHBC50_etp","MGHBC48_etp","MGHBC61_etp","MGHBC62_etp","MGHBC17kp_etp"
"KpMero4_R01up_KPN_01226_0.97",5.27324134555651,4.94985573025086,6.26334293988059,5.63871110424874,6.51333358828769,5.87526253993837,3.28666087733328,6.31376821957884,4.91285495173449,4.62113606542163,4.94832550456571,5.45266511192328,1.56497910964595,5.12839107173878,5.7008015486569,4.81877870424888
"KpMero4_R02up_KPN_01107_0.97",3.31967534016274,4.16949267909985,3.89719740520179,3.60315743011753,2.94636660795113,4.41748276907686,2.39451703479887,5.02396195716087,1.52503967642104,4.58065433409002,3.6051523750763,3.57994963087401,0.702980435872982,3.65315690309137,4.19537607472411,3.50370017630475
"KpMero4_R03up_KPN_02345_0.95",2.37448292676437,1.90984646512731,1.8550966000307,2.17979672080517,2.22280300686618,2.45809461532619,1.44369750145285,3.0394379449164,1.03251221015499,2.73367550404362,2.67510659581788,2.84830946878928,0.967384466585118,1.43570523558511,2.38228957012522,1.75015987660669
"KpMero4_R04up_KPN_02742_0.97",5.12653874843565,4.33835161401169,5.78897521577787,5.38581066934006,5.77586801135463,5.01719451397511,4.33489563326035,6.02281187335443,4.16328353303494,5.40385300207133,3.95696902238773,5.06507934277537,1.91284071973854,5.08523109801153,5.94691120608113,4.47353674777795
"KpMero4_R05dn_KPN_02241_0.92",-3.79501905980679,NA,NA,-0.412880098521286,NA,-3.70364830195588,-3.74237839884665,NA,NA,NA,-2.9037608050134,-0.42349674062124,0.141131834600007,NA,-0.421539345945792,-1.19974360430365
"KpMero4_R06up_KPN_03358_0.92",2.30487177840141,1.86829927628474,3.07063807326546,2.82604969204386,2.50480881202289,2.83017115607735,1.80564122331156,3.44676258451645,1.65262818229854,2.69244387213451,2.12875860145926,2.97122981172309,0.0149230968996129,2.5614137078611,2.82532111962462,2.50029821725622
"KpMero4_R07up_KPN_03934_0.92",-0.0463357641570028,0.759481862168086,0.341306552835667,0.260254931603286,0.182689145350475,1.4075363181518,-0.111466678718489,0.45665351240538,-0.292609168906711,0.420713448747134,0.0201883768673434,0.638787403324449,-0.408628060165416,0.253218486041255,0.634779830872138,0.107058397704625
"KpMero4_R08dn_KPN_00868_0.92",-4.85286107572935,-0.801940639069483,NA,-2.33041793832931,NA,-4.28608766267445,-5.34745109480144,NA,NA,-2.66662262275675,-4.07926285569519,-2.91842587017129,0.24774251769606,1.2482721718992,-3.00531454099473,-3.36221417957806
"KpMero4_R09up_KPN_02342_0.97",3.12504060573652,1.92785504684047,2.82746784409281,2.39362459977929,2.23182073165676,3.30622490249414,2.24530330210309,2.77013814233404,0.0384943630503833,1.7619676435009,2.16831930713386,2.94961268620693,0.478416469978987,1.64312185863293,2.47180155162429,2.85378582836039
"KpMero4_R10up_KPN_00833_0.97",4.81824326497063,5.96238154507633,5.27147050057461,4.38172850929195,5.33694898038823,6.10638766548671,3.7917820607239,4.72210159505,4.2385732973366,6.02228213334075,4.73646410865645,4.78443383346936,1.86006418187282,4.91631601257131,4.70405954496001,5.37618568218188
