"","MGHBC4_fep","MGHBC15_fep","MGHBC19_fep","MGHBC23_fep","MGHBC25_fep","MGHBC34_fep","MGHBC35_fep","MGHBC29_fep","MGHBC32_fep","MGHBC26_fep","MGHBC47_fep","MGHBC50_fep","MGHBC48_fep","MGHBC61_fep","MGHBC62_fep","MGHBC17kp_fep"
"KpMero4_R01up_KPN_01226_0.97",4.31824623698244,-0.384309167674338,1.9042062409646,0.900139429261273,NA,0.132243180458991,3.60561043883814,1.13913093922423,0.842850694195832,0.801876967550728,1.11695633587329,1.00671038023632,-0.0772997280787084,1.18801875560486,0.768179846670967,3.71402554796165
"KpMero4_R02up_KPN_01107_0.97",2.51659552375184,-0.108865193104663,1.67653302311781,0.847567568067015,0.0292419420742564,-0.138917639530514,3.0542563019111,1.67304593459952,0.206180519360028,1.16498542379405,1.92184135111218,1.48675363443936,1.19894144657654,2.31844559482733,2.3394907410913,2.65084030655298
"KpMero4_R03up_KPN_02345_0.95",1.47958532652908,-0.0394711405863037,1.42603115657019,1.75742095055281,-0.139388755757249,-0.17096780312733,1.90503253687151,1.97614882369302,0.851512338994444,2.45636325657044,1.77221864107133,2.12273144389459,1.08659400023485,1.0799366256264,1.89012416084548,1.93194594851671
"KpMero4_R04up_KPN_02742_0.97",2.48595549980773,-0.355878006747548,3.66833956983275,2.42095662787773,-0.25004108713838,0.157101705044013,3.20064464349901,2.00946666947987,1.24996202877348,1.74500540982607,1.5343370296207,1.97083843441258,2.75241121989836,2.3939263832771,3.58104294215311,2.35917980353214
"KpMero4_R05dn_KPN_02241_0.92",-2.30711382906792,NA,NA,-0.412880098521286,NA,0.17570064857314,-2.89028265142169,NA,NA,NA,-2.70171543697417,-0.42349674062124,-0.111702327882075,NA,0.17766405800194,-1.19974360430365
"KpMero4_R06up_KPN_03358_0.92",1.73830418307168,-0.352668095754544,1.67451955007899,0.996860007211839,-0.638639857765993,-0.122546293607625,1.48414345054691,0.995792375383167,0.207698313384644,0.944396871546456,1.33943178434261,0.790826261793707,0.331955361679996,1.21058297056297,1.31312532523874,1.8049219636723
"KpMero4_R07up_KPN_03934_0.92",-0.534966404705155,0.230937488239062,-0.474976139323447,-0.878953967749437,-0.302611997799698,-0.012366659172438,-0.0565669357180683,-1.1431654982856,-1.02835297038576,-0.831295662106721,-0.257889881468215,-0.35559960759452,-0.486378344272243,-0.154086233003222,0.301860323306438,-0.708708348352177
"KpMero4_R08dn_KPN_00868_0.92",-1.10267138384906,-1.75120366394952,NA,-2.33041793832931,NA,0.230437993016656,-0.662560112575698,NA,NA,-2.61275678635545,-4.07926285569519,-2.91842587017129,-3.1332746500034,0.274267625959812,-2.49327193809087,-1.03886494042969
"KpMero4_R09up_KPN_02342_0.97",1.62276064116677,-0.210096657765783,2.30985638411032,1.18165161467304,-0.663521147693226,0.294965077930356,1.4043986822636,0.867166861100892,-0.0946253969525528,0.0821991313277963,1.44463213273947,1.65694324137947,1.08544002051286,0.987021609144511,1.77217749578926,1.93238575028526
"KpMero4_R10up_KPN_00833_0.97",1.99495724032332,0.0116651265729505,1.66136399599037,0.976554403249788,-0.28840675566114,0.050736087613502,2.22067920264092,0.520737427052055,1.00661407051267,2.66978192493795,1.07415920162919,1.33300021932565,1.04320371175911,1.01010651164679,0.707992523561936,2.76742080658476
