"","MGHBC15_cip","MGHBC15_levo","MGHBC17kp_cip","MGHBC17kp_levo","MGHBC19_cip","MGHBC19_levo","MGHBC23_cip","MGHBC23_levo","MGHBC25_cip","MGHBC25_levo","MGHBC26_cip","MGHBC26_levo","MGHBC29_cip","MGHBC29_levo","MGHBC32_cip","MGHBC32_levo","MGHBC34_cip","MGHBC34_levo","MGHBC35_cip","MGHBC35_levo","MGHBC4_cip","MGHBC4_levo","MGHBC47_cip","MGHBC47_levo","MGHBC48_cip","MGHBC48_levo","MGHBC50_cip","MGHBC50_levo","MGHBC61_cip","MGHBC61_levo","MGHBC62_cip","MGHBC62_levo"
"KpCip4_R01up_KPHS_33810_0.97",3.35969862279056,3.13830477814651,3.02132153653396,3.41691306671326,1.34551530786636,2.52717877650452,3.27128930397814,3.53854663358765,0.340238362930999,0.0290928095115918,3.2213585401947,3.73680549390295,2.76775636159032,2.76968953021627,1.24281975773728,1.21156739277621,2.35213443072324,3.00827860984859,3.91342123578201,4.14437078666564,3.31078324770711,3.53575041739669,3.18132852780328,3.52622902752126,-0.296295035570359,-0.0622885598897205,3.58611565587522,3.91188303341383,3.8414861980508,3.83408739629221,3.69529130991068,3.74238763912495
"KpCip4_R02up_KPHS_02830_0.97",1.92170378956747,1.12404428153985,1.48654566713357,1.78584653598895,0.617567057426645,1.77640738281328,1.86973672049528,2.03953616476469,0.199223703986278,0.0653249670228343,1.74366940080032,2.09047518697419,1.13986104841101,0.239929507022853,1.57956794370735,1.34644462565618,0.629509624145806,0.199995689435951,0.419646925266232,0.531334808831173,1.2244472476184,1.20772600629851,1.36136305572576,1.59975741744916,0.0450567206141887,0.30987580092039,1.34737920116814,2.05127624520099,1.48039082611409,1.62401400369635,1.57085706761346,1.63270655206922
"KpCip4_R03up_KPHS_41020_0.92",4.20300230262975,4.14423273622287,3.04837840834203,3.78860250721456,2.10359443757001,3.07502810420857,4.37920337667613,4.31919979615566,0.290551825040523,0.288482348600221,3.23254837562908,3.51893768084043,3.5533122967979,3.2142428633592,1.01040384811448,0.789538548150275,2.63620185761467,2.82663311591042,4.56036241003204,4.556917715045,3.19262723951186,3.55820821184217,3.22210526804898,3.15452588819125,-0.534140327458229,-0.0579411254084597,4.0958340872128,4.12259364970264,3.48627858441877,3.3869036377577,3.62365612115231,3.68260826204855
"KpCip4_R04dn_KPHS_18380_0.97",-0.716341204127574,-1.95671207975213,-1.1062392162364,-1.64083550244347,-0.621040468205273,-0.243719498398203,-0.8871817149086,-1.58116694970285,0.719139056961412,-0.127642064260807,-1.64655336753851,-2.32081708005275,-0.757028406244917,-2.30828913381217,-0.600828943483027,-1.752565601084,-0.415385963231127,-0.968986065787152,-0.986078652134506,-2.18119957159479,-1.27325886721941,-1.90365264378366,-1.5620086466161,-2.21711277612115,0.609131550618684,-0.372031483576409,-2.23087305712866,-1.68580330565479,0.296801612504189,-0.681231675226177,-1.37181589291067,-1.89145742531699
"KpCip4_R05up_KPHS_37080_0.97",2.49813650765718,2.41718237628066,1.90433002547379,2.04082297123324,0.74539734461252,1.3931308113908,2.69626953285348,2.26446772507412,0.0672441402981946,-0.125687030310383,3.24346764840958,3.12827321950958,2.47715171934736,1.61189828440981,2.93317243955001,2.1967215722604,0.356389442737622,-0.121846207504269,1.24466092441882,0.47853659261224,1.85575424907785,1.94234502553605,2.00619250153582,1.05219967329619,0.0536324365518127,-0.35047329500747,2.87388032569328,2.47216188335348,2.65289733074328,2.13439922085984,2.27677157451086,2.14257114172227
"KpCip4_R06up_KPHS_41010_0.95",1.88827818431952,2.31910220706019,1.66675439684638,2.09399454394458,1.07777175550062,2.44178728527387,2.76582472357135,2.460753540597,0.124504031511887,0.261916232756486,1.31263240236736,1.76352382117541,1.34642807236081,1.20386331719858,1.18171680295154,1.1563047450075,1.54487046592837,2.15700195364252,2.63991835415073,3.29798187742482,2.21663162487243,2.92540207872237,2.38951678905953,3.03666601946032,1.87638745190316,-0.213609689228057,2.0823381045962,2.39409414835628,1.0666500074584,2.10054381254295,1.927919995429,1.66073003931255
"KpCip4_R07up_KPHS_02820_0.97",2.35711926657278,1.97629107618582,1.46086444280783,1.80667298038093,1.66297577209091,2.56131146142366,1.99603241342847,2.3389124176622,0.132443943183503,0.143257235576866,2.35316528805411,2.40685250067063,2.13384431755921,1.88512845734949,1.1704536245447,1.14531021655784,1.61602850747938,1.54666727154972,2.44437478417741,2.2475844566401,2.24174606333765,2.70009551873914,1.80065609024225,1.945686517608,-0.216839049606267,0.416049426316652,2.33584382275899,2.74029995487613,1.30580256963003,1.20852138398971,2.31372188237674,2.50888707629009
"KpCip4_R08up_KPHS_03450_0.92",2.59917482391476,2.5183530235772,3.11625556467888,3.58354320876674,0.902893661636215,2.24012114146421,2.28296331017923,2.64782156607971,0.246848093369424,0.427102759919348,2.54750455821885,2.89200663243492,2.82642101348042,2.90430303533967,1.70472857339129,1.05512103219905,1.33360239733555,1.50881917316732,2.28515359097227,2.49354260890399,2.09871823806241,2.04603787304008,2.4473918976741,2.41192221814908,0.0675191250365738,-0.741843085008967,3.12703976803989,3.4985459410081,1.11010484628829,1.09430978737619,2.60384297267418,2.54782762020853
"KpCip4_R09up_KPHS_53000_0.97",1.16391262693294,1.39310278850397,1.84455308691941,2.2234875958363,1.10367546432449,1.24764251322959,2.54228288867496,2.5086311396494,-0.578659062665872,-1.7464404409141,1.83280222562834,1.6607632935162,2.30795392454617,1.20386331719858,1.88006110309044,1.53567936754708,0.332410579803182,-0.753374256227106,1.82231411784812,0.958760997950665,1.46766425000616,1.7931060643046,2.53214905431989,0.885356696185353,3.21083627382948,0.871825570492079,1.72571672163637,3.13328294936031,1.51010395598527,1.19266743278888,1.83748652898534,1.51429683312752
"KpCip4_R10up_KPHS_37090_0.97",0.181636342960105,0.491323928199145,0.315794007846336,0.562164468910016,0.136529527173061,0.689609241399906,1.51031938502455,1.5037776620443,0.063630779388141,-0.606177082804713,1.47292875225231,1.38703226441507,1.65221298132409,1.14795118465002,1.83002042059085,2.09366067999547,0.0504455116208162,0.0972957075182517,0.483215630805846,0.35074813851083,1.52761709448114,2.62118543443224,0.989954283987665,1.14017059521418,-0.0755644685258216,0.31300482666739,1.32296514024596,1.61795320859057,0.765692575804297,0.838121886039471,1.42331838498492,1.10891521966529
